#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956201856	18	3	2021	10	56	55.840	2501026.434	1117429.068	384.434
2459291.956202574	18	3	2021	10	56	55.902	2501026.434	1117429.067	384.429
2459291.956203534	18	3	2021	10	56	55.985	2501026.434	1117429.067	384.433
2459291.956204610	18	3	2021	10	56	56.078	2501026.435	1117429.068	384.431
2459291.956205653	18	3	2021	10	56	56.168	2501026.434	1117429.066	384.437
2459291.956206382	18	3	2021	10	56	56.231	2501026.434	1117429.067	384.433
2459291.956207099	18	3	2021	10	56	56.293	2501026.435	1117429.070	384.431
2459291.956207794	18	3	2021	10	56	56.353	2501026.434	1117429.067	384.432
2459291.956209240	18	3	2021	10	56	56.478	2501026.435	1117429.068	384.432
2459291.956210108	18	3	2021	10	56	56.553	2501026.435	1117429.068	384.431
2459291.956211370	18	3	2021	10	56	56.662	2501026.434	1117429.065	384.433
2459291.956212099	18	3	2021	10	56	56.725	2501026.435	1117429.069	384.432
2459291.956212967	18	3	2021	10	56	56.800	2501026.435	1117429.068	384.432
2459291.956213696	18	3	2021	10	56	56.863	2501026.435	1117429.069	384.433
2459291.956214414	18	3	2021	10	56	56.925	2501026.435	1117429.070	384.433
2459291.956215282	18	3	2021	10	56	57.000	2501026.435	1117429.069	384.431
2459291.956215826	18	3	2021	10	56	57.047	2501026.435	1117429.068	384.430
2459291.956217319	18	3	2021	10	56	57.176	2501026.435	1117429.070	384.431
2459291.956217956	18	3	2021	10	56	57.231	2501026.435	1117429.069	384.429
2459291.956218673	18	3	2021	10	56	57.293	2501026.434	1117429.066	384.430
2459291.956219726	18	3	2021	10	56	57.384	2501026.435	1117429.069	384.427
2459291.956220270	18	3	2021	10	56	57.431	2501026.435	1117429.070	384.430
2459291.956220988	18	3	2021	10	56	57.493	2501026.435	1117429.070	384.429
2459291.956221682	18	3	2021	10	56	57.553	2501026.435	1117429.067	384.429
2459291.956222400	18	3	2021	10	56	57.615	2501026.434	1117429.066	384.428
2459291.956223129	18	3	2021	10	56	57.678	2501026.434	1117429.067	384.432
2459291.956224183	18	3	2021	10	56	57.769	2501026.435	1117429.068	384.432
2459291.956225630	18	3	2021	10	56	57.894	2501026.434	1117429.064	384.432
